Question ID,Level,Risk Area,Type,Question Text,Response Type,Required (True/False),TRIGGER LOGIC: This question appears ONLY IF...,Parent Question ID,Parent Must Be Answered,TRIGGERING LOGIC: What happens when answered...,On YES: Action,On YES: Skip/Show Questions,On NO: Action,On NO: Skip/Show Questions,Skip If Conditions,Show If Any Conditions,Comments/Notes
Q 5.09,L3,Intellectual Property,,"As you have identified material Project IP or IP being developed by suppliers, have you confirmed that BHP either owns, or has a sufficiently broad licence to use (which permits BHP to modify, amend, improve the IP, including with the use of third party contractors), all key IP required for the life of this Project?",Yes/No,True,"Shown based on parent question logic (Hidden if: Q 5.03=Yes, Q 5.04=Yes)",,,,,,,,Q 5.03 = Yes; Q 5.04 = Yes,,
Q 5.10,L3,Intellectual Property,,"Does your Project have in place a routine or process for sharing any BHP or third party materials (including data) which includes: 1. Identifying each item to be shared. 2. Checking the source of the item to confirm our ability to use share it, and any conditions. 3. Documenting where and how materials are shared. 4. Ensuring compliance with any conditions.",Yes/No,True,"Shown based on parent question logic (Hidden if: Q 5.06=Yes, Q 5.07=Yes)",,,,,,,,Q 5.06 = Yes; Q 5.07 = Yes,,
Q 5.11,L3,Intellectual Property,,"Have you checked with the Data Owner whether there are any conditions you should be aware of for the data you are sharing? If you are not sure who the Data Owner is, check with the Data Strategy team.",Yes/No,True,Question Q 5.05 is answered 'Yes',Q 5.05,Yes,,,,,,,,
Q 6.01,L3,Intellectual Property,,Data - Will your Project be a Data Producer or Data Consumer?,Yes/No,True,Question IP-06 is answered 'Yes',IP-06,Yes,NO: Skip questions Q 6.02,,,skip_questions,Q 6.02,,,
Q 6.02,L3,Intellectual Property,,"Have you complied with all relevant sections of the Data Global Standard, including in relation to 'Managing and using our Data' and 'Safeguarding our Data'?",Yes/No,True,Question Q 6.01 is answered 'Yes',Q 6.01,Yes,,,,,,,,
Q 6.03,L3,Intellectual Property,,"Privacy - Will your Project collect, process, store or output Personal Information (this would include any Project that introduces increased monitoring or surveillance of individuals)?",Yes/No,True,Shown based on parent question logic,,,NO: Skip questions Q 6.04,,,skip_questions,Q 6.04,,,
Q 6.04,L3,Intellectual Property,,Has your Project completed a Data Protection Impact Assessment (DPIA) with BHP's Data Privacy and Protection office (DPPO)?,Yes/No,True,Question Q 6.03 is answered 'Yes',Q 6.03,Yes,,,,,,,,
Q 6.05,L3,Intellectual Property,,"Competition - Will your Project share Competitively Sensitive Information (as defined in the Guidance Note) outside of BHP, or include algorithms or machine learning programs that provide recommendations or implement actions that might influence the procurement of goods/services or pricing?",Yes/No,True,Shown based on parent question logic,,,NO: Skip questions Q 6.06,,,skip_questions,Q 6.06,,,
Q 6.06,L3,Intellectual Property,,"Have you contacted the Competition Forum, to confirm that your Project complies with Business Conduct Global Standard in respect of competition law and competitively sensitive information, and has implemented any strategies to manage any specific competition law risks?",Yes/No,True,Question Q 6.05 is answered 'Yes',Q 6.05,Yes,,,,,,,,
Q 6.07,L3,Intellectual Property,,"Export controls - Will your Project create any software that: (a) contains or uses encryption; or (b) has a primary function of 'information security', digital communications or networking systems, computers or information storage or processing?",Yes/No,True,Question IP-06 is answered 'Yes',IP-06,Yes,NO: Skip questions Q 6.08,,,skip_questions,Q 6.08,,,
Q 6.08,L3,Intellectual Property,,Have you contacted Ethics & Compliance (marked to the attention of Elika Taghizadeh (elika.taghizadeh@bhp.com) to assess whether your software may be captured by any export controls?,Yes/No,True,Question Q 6.07 is answered 'Yes',Q 6.07,Yes,,,,,,,,
